Image,Left Shoulder-Left Elbow-Left Wrist,Right Shoulder-Right Elbow-Right Wrist,Left Shoulder-Left Hip-Left Knee,Right Shoulder-Right Hip-Right Knee,Left Elbow-Left Shoulder-Left Hip,Right Elbow-Right Shoulder-Right Hip,Left Hip-Left Knee-Left Ankle,Right Hip-Right Knee-Right Ankle,Nose-Left Eye_distance,Nose-Right Eye_distance,Nose-Left Ear_distance,Nose-Right Ear_distance,Nose-Left Shoulder_distance,Nose-Right Shoulder_distance,Nose-Left Elbow_distance,Nose-Right Elbow_distance,Nose-Left Wrist_distance,Nose-Right Wrist_distance,Nose-Left Hip_distance,Nose-Right Hip_distance,Nose-Left Knee_distance,Nose-Right Knee_distance,Nose-Left Ankle_distance,Nose-Right Ankle_distance,Left Eye-Right Eye_distance,Left Eye-Left Ear_distance,Left Eye-Right Ear_distance,Left Eye-Left Shoulder_distance,Left Eye-Right Shoulder_distance,Left Eye-Left Elbow_distance,Left Eye-Right Elbow_distance,Left Eye-Left Wrist_distance,Left Eye-Right Wrist_distance,Left Eye-Left Hip_distance,Left Eye-Right Hip_distance,Left Eye-Left Knee_distance,Left Eye-Right Knee_distance,Left Eye-Left Ankle_distance,Left Eye-Right Ankle_distance,Right Eye-Left Ear_distance,Right Eye-Right Ear_distance,Right Eye-Left Shoulder_distance,Right Eye-Right Shoulder_distance,Right Eye-Left Elbow_distance,Right Eye-Right Elbow_distance,Right Eye-Left Wrist_distance,Right Eye-Right Wrist_distance,Right Eye-Left Hip_distance,Right Eye-Right Hip_distance,Right Eye-Left Knee_distance,Right Eye-Right Knee_distance,Right Eye-Left Ankle_distance,Right Eye-Right Ankle_distance,Left Ear-Right Ear_distance,Left Ear-Left Shoulder_distance,Left Ear-Right Shoulder_distance,Left Ear-Left Elbow_distance,Left Ear-Right Elbow_distance,Left Ear-Left Wrist_distance,Left Ear-Right Wrist_distance,Left Ear-Left Hip_distance,Left Ear-Right Hip_distance,Left Ear-Left Knee_distance,Left Ear-Right Knee_distance,Left Ear-Left Ankle_distance,Left Ear-Right Ankle_distance,Right Ear-Left Shoulder_distance,Right Ear-Right Shoulder_distance,Right Ear-Left Elbow_distance,Right Ear-Right Elbow_distance,Right Ear-Left Wrist_distance,Right Ear-Right Wrist_distance,Right Ear-Left Hip_distance,Right Ear-Right Hip_distance,Right Ear-Left Knee_distance,Right Ear-Right Knee_distance,Right Ear-Left Ankle_distance,Right Ear-Right Ankle_distance,Left Shoulder-Right Shoulder_distance,Left Shoulder-Left Elbow_distance,Left Shoulder-Right Elbow_distance,Left Shoulder-Left Wrist_distance,Left Shoulder-Right Wrist_distance,Left Shoulder-Left Hip_distance,Left Shoulder-Right Hip_distance,Left Shoulder-Left Knee_distance,Left Shoulder-Right Knee_distance,Left Shoulder-Left Ankle_distance,Left Shoulder-Right Ankle_distance,Right Shoulder-Left Elbow_distance,Right Shoulder-Right Elbow_distance,Right Shoulder-Left Wrist_distance,Right Shoulder-Right Wrist_distance,Right Shoulder-Left Hip_distance,Right Shoulder-Right Hip_distance,Right Shoulder-Left Knee_distance,Right Shoulder-Right Knee_distance,Right Shoulder-Left Ankle_distance,Right Shoulder-Right Ankle_distance,Left Elbow-Right Elbow_distance,Left Elbow-Left Wrist_distance,Left Elbow-Right Wrist_distance,Left Elbow-Left Hip_distance,Left Elbow-Right Hip_distance,Left Elbow-Left Knee_distance,Left Elbow-Right Knee_distance,Left Elbow-Left Ankle_distance,Left Elbow-Right Ankle_distance,Right Elbow-Left Wrist_distance,Right Elbow-Right Wrist_distance,Right Elbow-Left Hip_distance,Right Elbow-Right Hip_distance,Right Elbow-Left Knee_distance,Right Elbow-Right Knee_distance,Right Elbow-Left Ankle_distance,Right Elbow-Right Ankle_distance,Left Wrist-Right Wrist_distance,Left Wrist-Left Hip_distance,Left Wrist-Right Hip_distance,Left Wrist-Left Knee_distance,Left Wrist-Right Knee_distance,Left Wrist-Left Ankle_distance,Left Wrist-Right Ankle_distance,Right Wrist-Left Hip_distance,Right Wrist-Right Hip_distance,Right Wrist-Left Knee_distance,Right Wrist-Right Knee_distance,Right Wrist-Left Ankle_distance,Right Wrist-Right Ankle_distance,Left Hip-Right Hip_distance,Left Hip-Left Knee_distance,Left Hip-Right Knee_distance,Left Hip-Left Ankle_distance,Left Hip-Right Ankle_distance,Right Hip-Left Knee_distance,Right Hip-Right Knee_distance,Right Hip-Left Ankle_distance,Right Hip-Right Ankle_distance,Left Knee-Right Knee_distance,Left Knee-Left Ankle_distance,Left Knee-Right Ankle_distance,Right Knee-Left Ankle_distance,Right Knee-Right Ankle_distance,Left Ankle-Right Ankle_distance,Label
1,62.82103372140746,125.2127490723446,116.87506885061833,150.29003449685652,105.98032972817937,84.04139328388324,132.0786191505815,164.89808792384295,0.0,0.0,202.99232482910156,0.0,231.59666442871094,194.35255432128906,284.55908203125,229.6237335205078,250.92442321777344,237.8537139892578,279.36273193359375,267.3138122558594,379.63482666015625,350.9069519042969,444.0615539550781,418.7331848144531,0.0,202.99232482910156,0.0,231.59666442871094,194.35255432128906,284.55908203125,229.6237335205078,250.92442321777344,237.8537139892578,279.36273193359375,267.3138122558594,379.63482666015625,350.9069519042969,444.0615539550781,418.7331848144531,202.99232482910156,0.0,231.59666442871094,194.35255432128906,284.55908203125,229.6237335205078,250.92442321777344,237.8537139892578,279.36273193359375,267.3138122558594,379.63482666015625,350.9069519042969,444.0615539550781,418.7331848144531,202.99232482910156,34.60560607910156,41.60874938964844,81.74217987060547,35.06519317626953,56.08860778808594,37.33102798461914,132.7939453125,129.88671875,210.09410095214844,199.52154541015625,287.9073181152344,269.3553466796875,231.59666442871094,194.35255432128906,284.55908203125,229.6237335205078,250.92442321777344,237.8537139892578,279.36273193359375,267.3138122558594,379.63482666015625,350.9069519042969,444.0615539550781,418.7331848144531,44.56563186645508,60.27198791503906,4.153090476989746,56.12361526489258,35.870887756347656,105.1501235961914,104.98638153076172,176.05941772460938,167.8721923828125,254.5314483642578,236.86273193359375,104.82579803466797,41.06295394897461,92.7582778930664,71.73072814941406,103.62086486816406,97.39485931396484,193.62588500976562,175.14634704589844,267.2098693847656,245.9795379638672,63.92623519897461,44.115966796875,47.76754379272461,134.8289337158203,140.6154022216797,170.74302673339844,178.15701293945312,251.14569091796875,239.44192504882812,60.14353561401367,39.724056243896484,102.2411117553711,101.69358825683594,175.07693481445312,165.89295959472656,253.191650390625,235.17315673828125,21.207841873168945,156.40835571289062,158.47796630859375,209.4090118408203,210.85044860839844,289.91534423828125,276.00482177734375,139.1283721923828,140.09043884277344,199.91258239746094,197.44383239746094,279.9658203125,264.4524841308594,14.427044868469238,101.46298217773438,73.03439331054688,166.54490661621094,143.51992797851562,114.94232940673828,83.7716293334961,177.3163299560547,153.27967834472656,44.87360382080078,80.55036926269531,70.67965698242188,93.60905456542969,70.83935546875,28.438920974731445,plank
2,68.37553479975858,123.78220693182044,118.81014340475298,150.9004621633589,110.19775980479797,80.24768082261554,136.96683527539787,166.01599864567729,0.0,0.0,192.7980499267578,0.0,220.55276489257812,186.05899047851562,271.6171569824219,223.36431884765625,243.0232391357422,234.13348388671875,267.5574951171875,256.8813781738281,368.65576171875,340.164794921875,438.9421691894531,410.1004943847656,0.0,192.7980499267578,0.0,220.55276489257812,186.05899047851562,271.6171569824219,223.36431884765625,243.0232391357422,234.13348388671875,267.5574951171875,256.8813781738281,368.65576171875,340.164794921875,438.9421691894531,410.1004943847656,192.7980499267578,0.0,220.55276489257812,186.05899047851562,271.6171569824219,223.36431884765625,243.0232391357422,234.13348388671875,267.5574951171875,256.8813781738281,368.65576171875,340.164794921875,438.9421691894531,410.1004943847656,192.7980499267578,34.44917678833008,40.70842742919922,79.14293670654297,39.6909065246582,58.03797149658203,42.84115982055664,131.1984405517578,128.69325256347656,210.52496337890625,199.22152709960938,292.86767578125,271.0722961425781,220.55276489257812,186.05899047851562,271.6171569824219,223.36431884765625,243.0232391357422,234.13348388671875,267.5574951171875,256.8813781738281,368.65576171875,340.164794921875,438.9421691894531,410.1004943847656,41.432640075683594,60.18739700317383,5.844484329223633,58.421390533447266,37.08272933959961,103.15278625488281,103.03462982177734,176.54385375976562,167.35479736328125,259.35906982421875,238.4116973876953,101.51292419433594,41.595733642578125,92.8964614868164,73.21736907958984,100.83330535888672,95.56136322021484,191.8502197265625,173.39804077148438,270.7557678222656,246.2615966796875,61.25426483154297,38.988216400146484,37.88246536254883,136.19886779785156,141.2124481201172,176.1476593017578,181.6970672607422,259.7845153808594,245.1644744873047,62.766151428222656,41.41204833984375,97.45281219482422,97.54769134521484,170.99465942382812,161.52401733398438,253.69334411621094,232.6331024169922,21.36452293395996,155.99620056152344,158.12294006347656,210.50392150878906,211.13189697265625,294.5830383300781,277.9606628417969,135.830078125,137.41917419433594,196.1056365966797,193.711181640625,280.16156005859375,262.09295654296875,12.900227546691895,101.94181823730469,74.18083953857422,173.21249389648438,146.74606323242188,113.78958129882812,83.55472564697266,182.7042236328125,155.27940368652344,43.28603744506836,84.11309051513672,70.5571517944336,99.17180633544922,72.88265228271484,31.889331817626953,plank
3,62.80081636146422,118.98518749280207,127.20320280026971,156.33670534642044,97.17142109523559,80.32948599830479,135.47620113055595,173.17458331098425,0.0,0.0,0.0,0.0,210.5924835205078,180.8982696533203,266.5223083496094,222.1793670654297,239.15806579589844,226.8900909423828,270.05560302734375,264.48162841796875,364.5718994140625,333.83349609375,430.0301513671875,402.7646179199219,0.0,0.0,0.0,210.5924835205078,180.8982696533203,266.5223083496094,222.1793670654297,239.15806579589844,226.8900909423828,270.05560302734375,264.48162841796875,364.5718994140625,333.83349609375,430.0301513671875,402.7646179199219,0.0,0.0,210.5924835205078,180.8982696533203,266.5223083496094,222.1793670654297,239.15806579589844,226.8900909423828,270.05560302734375,264.48162841796875,364.5718994140625,333.83349609375,430.0301513671875,402.7646179199219,0.0,210.5924835205078,180.8982696533203,266.5223083496094,222.1793670654297,239.15806579589844,226.8900909423828,270.05560302734375,264.48162841796875,364.5718994140625,333.83349609375,430.0301513671875,402.7646179199219,210.5924835205078,180.8982696533203,266.5223083496094,222.1793670654297,239.15806579589844,226.8900909423828,270.05560302734375,264.48162841796875,364.5718994140625,333.83349609375,430.0301513671875,402.7646179199219,41.02690887451172,61.1352424621582,12.959531784057617,55.402278900146484,34.76231384277344,112.14537048339844,116.406982421875,185.57150268554688,173.29969787597656,265.07562255859375,240.08447265625,101.56396484375,47.6057014465332,94.08782196044922,73.78382110595703,105.54013061523438,105.5281982421875,192.9622039794922,171.6476287841797,267.8077697753906,241.38558959960938,54.61018753051758,38.56298065185547,40.62721633911133,134.2605438232422,142.929931640625,177.75369262695312,180.17355346679688,259.29278564453125,237.6815643310547,57.47059631347656,37.8402214050293,103.01461791992188,108.23448944091797,173.35232543945312,162.46693420410156,253.25106811523438,228.51283264160156,20.651927947998047,156.51504516601562,163.2288818359375,212.1506805419922,209.84934997558594,293.76690673828125,271.0582275390625,139.37542724609375,145.3587188720703,201.3553466796875,195.601318359375,282.6162109375,259.0182189941406,11.90602970123291,94.8515625,66.45999908447266,163.4142608642578,136.57810974121094,102.08983612060547,69.68453979492188,166.7212371826172,139.59645080566406,43.35059356689453,81.64153289794922,60.73226547241211,97.14036560058594,70.15989685058594,27.265544891357422,plank
4,65.1729069092638,119.0282040241948,118.78421600666361,149.0027077628492,105.1623531033678,84.41791429206936,135.9821815442705,163.52558873088557,0.0,0.0,185.45346069335938,0.0,213.04017639160156,179.4930419921875,267.0761413574219,218.81515502929688,236.4393768310547,224.29527282714844,262.6549377441406,254.18292236328125,368.0390319824219,340.7054748535156,439.8404541015625,412.32000732421875,0.0,185.45346069335938,0.0,213.04017639160156,179.4930419921875,267.0761413574219,218.81515502929688,236.4393768310547,224.29527282714844,262.6549377441406,254.18292236328125,368.0390319824219,340.7054748535156,439.8404541015625,412.32000732421875,185.45346069335938,0.0,213.04017639160156,179.4930419921875,267.0761413574219,218.81515502929688,236.4393768310547,224.29527282714844,262.6549377441406,254.18292236328125,368.0390319824219,340.7054748535156,439.8404541015625,412.32000732421875,185.45346069335938,36.77124786376953,45.91819763183594,81.64704132080078,43.43614196777344,56.22435760498047,39.767696380615234,139.51654052734375,139.101806640625,221.48741149902344,210.94483947753906,305.8166809082031,284.8418273925781,213.04017639160156,179.4930419921875,267.0761413574219,218.81515502929688,236.4393768310547,224.29527282714844,262.6549377441406,254.18292236328125,368.0390319824219,340.7054748535156,439.8404541015625,412.32000732421875,41.823368072509766,60.42518615722656,6.706992149353027,57.716278076171875,37.58335494995117,108.42543029785156,110.02180480957031,184.9347381591797,176.02027893066406,269.6404113769531,249.3109893798828,102.21134948730469,45.1495475769043,93.73889923095703,73.59595489501953,103.23100280761719,100.23939514160156,197.89761352539062,180.0723419189453,278.4403991699219,254.8411407470703,57.47818374633789,43.36235809326172,44.550148010253906,137.23883056640625,143.4668731689453,178.9344024658203,184.1464385986328,264.8630065917969,250.31651306152344,59.69805908203125,40.20329666137695,103.71581268310547,105.85820770263672,178.4292449951172,170.0719451904297,263.2691345214844,243.14939880371094,20.43822479248047,160.37088012695312,163.94313049316406,217.96072387695312,218.29933166503906,304.1988220214844,287.7547607421875,142.8165283203125,145.66201782226562,207.4083709716797,204.47805786132812,293.4787292480469,275.5758972167969,11.775675773620605,106.44387817382812,79.11502075195312,178.802490234375,153.27867126464844,116.44468688964844,86.58970642089844,186.11363220214844,159.70309448242188,42.36464309692383,86.23994445800781,72.89430236816406,99.69915008544922,74.76908111572266,30.33755874633789,plank
5,90.63303126694412,108.12438075015973,136.32501605947013,162.40815612229315,104.17390178706191,74.60873811555554,149.81817770823537,164.93143290737098,0.0,0.0,188.09408569335938,0.0,219.2681884765625,195.5107421875,263.9646911621094,231.1160125732422,247.36688232421875,231.008544921875,273.6464538574219,268.6509094238281,376.35107421875,359.62335205078125,451.5939636230469,436.31317138671875,0.0,188.09408569335938,0.0,219.2681884765625,195.5107421875,263.9646911621094,231.1160125732422,247.36688232421875,231.008544921875,273.6464538574219,268.6509094238281,376.35107421875,359.62335205078125,451.5939636230469,436.31317138671875,188.09408569335938,0.0,219.2681884765625,195.5107421875,263.9646911621094,231.1160125732422,247.36688232421875,231.008544921875,273.6464538574219,268.6509094238281,376.35107421875,359.62335205078125,451.5939636230469,436.31317138671875,188.09408569335938,36.00301742553711,39.397483825683594,76.15277862548828,49.875885009765625,69.86103820800781,44.96603775024414,130.86839294433594,129.8050537109375,224.102294921875,217.5432891845703,309.9060974121094,300.9450988769531,219.2681884765625,195.5107421875,263.9646911621094,231.1160125732422,247.36688232421875,231.008544921875,273.6464538574219,268.6509094238281,376.35107421875,359.62335205078125,451.5939636230469,436.31317138671875,33.39314651489258,52.955318450927734,13.9105806350708,66.6733627319336,36.37934875488281,101.4274673461914,101.62602233886719,189.68942260742188,184.82723999023438,276.086181640625,268.08050537109375,86.25342559814453,39.5495491027832,96.78111267089844,66.70719909667969,95.49750518798828,93.4704360961914,193.92803955078125,184.36827087402344,277.88763427734375,267.4283142089844,49.579349517822266,39.92930603027344,34.07243347167969,125.38822174072266,128.27386474609375,189.8650665283203,192.66552734375,276.4051208496094,272.5079650878906,71.61212158203125,42.80632781982422,90.48957824707031,91.31597137451172,176.2026824951172,172.00267028808594,262.7659606933594,255.111572265625,30.39348793029785,158.8646697998047,160.75425720214844,229.5062713623047,231.34617614746094,316.1902160644531,311.93463134765625,132.54296875,133.77610778808594,211.14263916015625,210.11026000976562,298.19744873046875,292.2619934082031,6.742123126983643,102.92494201660156,89.58535766601562,183.47470092773438,172.12493896484375,107.70877075195312,93.09193420410156,186.94593811035156,174.97486877441406,27.48349952697754,87.05488586425781,83.08930969238281,93.89815521240234,83.40206909179688,22.047536849975586,plank
6,54.04786746839035,27.407498374962874,118.91229571397969,152.92431551632538,106.15653494838736,83.62156887635923,139.54497213988924,173.04847069814915,0.0,0.0,201.88865661621094,0.0,232.35951232910156,190.65756225585938,284.3382263183594,222.41787719726562,247.8330078125,0.0,275.63043212890625,267.5962829589844,385.4112548828125,355.81036376953125,459.7551574707031,437.7293395996094,0.0,201.88865661621094,0.0,232.35951232910156,190.65756225585938,284.3382263183594,222.41787719726562,247.8330078125,0.0,275.63043212890625,267.5962829589844,385.4112548828125,355.81036376953125,459.7551574707031,437.7293395996094,201.88865661621094,0.0,232.35951232910156,190.65756225585938,284.3382263183594,222.41787719726562,247.8330078125,0.0,275.63043212890625,267.5962829589844,385.4112548828125,355.81036376953125,459.7551574707031,437.7293395996094,201.88865661621094,38.072021484375,54.727088928222656,82.5561294555664,44.2667350769043,49.40864181518555,201.88865661621094,142.41802978515625,147.9474639892578,229.26046752929688,222.17445373535156,316.9153747558594,302.129150390625,232.35951232910156,190.65756225585938,284.3382263183594,222.41787719726562,247.8330078125,0.0,275.63043212890625,267.5962829589844,385.4112548828125,355.81036376953125,459.7551574707031,437.7293395996094,54.7066650390625,56.67762756347656,20.70367431640625,47.34036636352539,232.35951232910156,113.34900665283203,122.0205307006836,192.4298095703125,188.70944213867188,280.678955078125,266.8836669921875,110.9932632446289,36.616912841796875,95.739990234375,190.65756225585938,102.22708129882812,103.01664733886719,203.94967651367188,186.38002014160156,287.1854248046875,269.2505798339844,74.91021728515625,44.939842224121094,284.3382263183594,140.1273193359375,153.59373474121094,187.09475708007812,198.15841674804688,275.62274169921875,266.75921630859375,67.3878402709961,222.41787719726562,98.64861297607422,105.42814636230469,186.7166290283203,177.93507385253906,273.6040344238281,258.2526550292969,247.8330078125,157.8651580810547,167.9674072265625,223.74659729003906,227.6322784423828,312.81573486328125,301.6938781738281,275.63043212890625,267.5962829589844,385.4112548828125,355.81036376953125,459.7551574707031,437.7293395996094,17.1750545501709,110.07596588134766,84.44525146484375,187.0057830810547,167.71800231933594,120.62464141845703,88.6586685180664,192.57296752929688,171.72219848632812,50.145301818847656,89.07068634033203,80.38880920410156,103.98611450195312,83.37969207763672,26.321975708007812,plank
7,54.963833402129495,116.60369177451538,119.3253992153604,152.2828924513695,101.94562770242612,78.13374410468576,136.9532978404629,165.83840006687862,0.0,0.0,197.86141967773438,0.0,225.4349822998047,187.4664306640625,280.5348205566406,222.4192657470703,245.4006805419922,228.1636199951172,274.7760314941406,269.23919677734375,384.3716125488281,359.09527587890625,462.25140380859375,441.1785583496094,0.0,197.86141967773438,0.0,225.4349822998047,187.4664306640625,280.5348205566406,222.4192657470703,245.4006805419922,228.1636199951172,274.7760314941406,269.23919677734375,384.3716125488281,359.09527587890625,462.25140380859375,441.1785583496094,197.86141967773438,0.0,225.4349822998047,187.4664306640625,280.5348205566406,222.4192657470703,245.4006805419922,228.1636199951172,274.7760314941406,269.23919677734375,384.3716125488281,359.09527587890625,462.25140380859375,441.1785583496094,197.86141967773438,35.43586730957031,55.659095764160156,82.71755981445312,46.83580017089844,51.49727249145508,30.929758071899414,140.54222106933594,147.4217987060547,226.4881134033203,221.48037719726562,318.0882568359375,304.6585388183594,225.4349822998047,187.4664306640625,280.5348205566406,222.4192657470703,245.4006805419922,228.1636199951172,274.7760314941406,269.23919677734375,384.3716125488281,359.09527587890625,462.25140380859375,441.1785583496094,52.902870178222656,59.949432373046875,19.256256103515625,50.02369689941406,30.628040313720703,111.51112365722656,120.78687286376953,191.48468017578125,188.63795471191406,283.5707092285156,270.8984375,112.10868072509766,39.92013931274414,98.70175170898438,76.42195892333984,101.10507202148438,103.25166320800781,203.07872009277344,187.57968139648438,289.29815673828125,272.3548278808594,73.27742004394531,44.056915283203125,53.37127685546875,137.09866333007812,150.9848175048828,181.8876953125,193.9376983642578,275.169189453125,267.9601745605469,69.19396209716797,49.697364807128906,94.50077056884766,102.75894165039062,181.33114624023438,174.67056274414062,272.0254211425781,258.0603332519531,22.43618392944336,156.23011779785156,167.38900756835938,219.4133758544922,225.29547119140625,312.9933166503906,303.6279602050781,141.28041076660156,151.13272094726562,214.06861877441406,215.40713500976562,307.2149353027344,296.0921325683594,16.31264305114746,110.35324096679688,86.95690155029297,189.81997680664062,171.64393615722656,119.21150207519531,89.9241943359375,193.24806213378906,173.3721160888672,47.2178955078125,93.5882797241211,87.15827178955078,103.35679626464844,84.7791748046875,27.0314884185791,plank
8,81.04457265345927,107.47877760943179,136.0586660025963,160.35076654050192,95.74196495478947,73.90229164970113,148.39076379435107,158.1420199667032,0.0,0.0,179.46722412109375,0.0,203.09432983398438,185.63592529296875,254.64312744140625,219.3243408203125,234.382568359375,210.5222930908203,269.9685974121094,272.2617492675781,378.5131530761719,367.5126953125,464.4230041503906,453.4736633300781,0.0,179.46722412109375,0.0,203.09432983398438,185.63592529296875,254.64312744140625,219.3243408203125,234.382568359375,210.5222930908203,269.9685974121094,272.2617492675781,378.5131530761719,367.5126953125,464.4230041503906,453.4736633300781,179.46722412109375,0.0,203.09432983398438,185.63592529296875,254.64312744140625,219.3243408203125,234.382568359375,210.5222930908203,269.9685974121094,272.2617492675781,378.5131530761719,367.5126953125,464.4230041503906,453.4736633300781,179.46722412109375,30.89579200744629,51.19573974609375,75.60265350341797,49.816349029541016,64.19190979003906,35.109073638916016,131.5172119140625,138.81277465820312,226.66844177246094,224.16151428222656,321.2117614746094,316.0934143066406,203.09432983398438,185.63592529296875,254.64312744140625,219.3243408203125,234.382568359375,210.5222930908203,269.9685974121094,272.2617492675781,378.5131530761719,367.5126953125,464.4230041503906,453.4736633300781,38.16844177246094,60.79554748535156,18.96063804626465,65.8905029296875,39.643028259277344,102.39463806152344,110.23334503173828,195.77345275878906,193.4599609375,290.35272216796875,285.4118957519531,97.30806732177734,42.50977325439453,103.55712127685547,75.69806671142578,91.4057388305664,96.7591781616211,196.39791870117188,189.22991943359375,287.51141357421875,279.8390808105469,56.760562896728516,36.57511901855469,45.42940139770508,124.2030258178711,133.72531127929688,187.33926391601562,192.92576599121094,282.3810729980469,281.97552490234375,72.26773834228516,51.15497970581055,85.92308044433594,94.27845764160156,176.8715057373047,174.93212890625,271.573486328125,266.8830871582031,29.4805850982666,152.69891357421875,161.89596557617188,223.43734741210938,228.07168579101562,318.6787414550781,317.85699462890625,136.49659729003906,145.1179962158203,219.07015991210938,220.47293090820312,314.67108154296875,311.8758544921875,9.60168743133545,108.69489288330078,98.46591186523438,196.62522888183594,188.45352172851562,107.56798553466797,95.28699493408203,192.91506958007812,183.84718322753906,25.119258880615234,95.62208557128906,94.89632415771484,98.28361511230469,91.95513916015625,21.524250030517578,plank
9,73.54785947329083,113.37902286356896,136.95761452001835,161.34625295165293,90.73961636894217,74.90005934403493,148.18390468514806,157.51112905344746,0.0,0.0,158.84713745117188,0.0,186.98403930664062,176.63168334960938,236.11158752441406,200.28219604492188,211.63104248046875,187.75985717773438,262.56964111328125,269.01995849609375,369.4117431640625,364.38287353515625,460.1624755859375,453.1877746582031,0.0,158.84713745117188,0.0,186.98403930664062,176.63168334960938,236.11158752441406,200.28219604492188,211.63104248046875,187.75985717773438,262.56964111328125,269.01995849609375,369.4117431640625,364.38287353515625,460.1624755859375,453.1877746582031,158.84713745117188,0.0,186.98403930664062,176.63168334960938,236.11158752441406,200.28219604492188,211.63104248046875,187.75985717773438,262.56964111328125,269.01995849609375,369.4117431640625,364.38287353515625,460.1624755859375,453.1877746582031,158.84713745117188,33.568138122558594,60.44114685058594,77.72438049316406,54.569515228271484,61.00434112548828,29.580028533935547,135.6038360595703,147.12123107910156,230.54689025878906,232.24331665039062,328.05010986328125,324.9941101074219,186.98403930664062,176.63168334960938,236.11158752441406,200.28219604492188,211.63104248046875,187.75985717773438,262.56964111328125,269.01995849609375,369.4117431640625,364.38287353515625,460.1624755859375,453.1877746582031,44.782371520996094,58.3380126953125,22.394393920898438,59.53404998779297,26.679990768432617,104.1452865600586,116.33367156982422,196.98915100097656,198.98312377929688,294.6011657714844,291.75274658203125,99.03162384033203,36.390193939208984,104.26116943359375,70.17002868652344,87.84007263183594,96.60240173339844,193.0991668701172,189.69151306152344,286.23980712890625,280.8318176269531,63.73974609375,36.86819839477539,48.376976013183594,120.0267333984375,133.6371307373047,184.16033935546875,193.03927612304688,282.49444580078125,283.10272216796875,75.86993408203125,47.26975631713867,81.78315734863281,93.94005584716797,176.87600708007812,177.78759765625,273.82080078125,270.5053405761719,35.34029769897461,147.93104553222656,161.37730407714844,220.30087280273438,228.1820831298828,318.84576416015625,319.0375671386719,127.13794708251953,139.90628051757812,213.09144592285156,217.402587890625,311.6134948730469,309.90972900390625,13.612308502197266,107.60242462158203,102.04608154296875,198.46473693847656,193.03567504882812,103.99474334716797,95.63040161132812,191.16514587402344,184.78465270996094,23.75025749206543,98.75019836425781,99.06645965576172,96.62740325927734,92.76988983154297,17.374780654907227,plank
10,67.62643380253743,108.46674398230662,139.38179892061763,160.4277564328263,92.32175455809475,64.72787227351328,151.6747870491849,160.82483631041416,0.0,0.0,137.39669799804688,0.0,171.984619140625,166.87728881835938,220.52207946777344,192.38314819335938,198.88194274902344,179.5116424560547,255.52276611328125,264.0111999511719,362.0168762207031,355.5291442871094,454.4674377441406,446.5176086425781,0.0,137.39669799804688,0.0,171.984619140625,166.87728881835938,220.52207946777344,192.38314819335938,198.88194274902344,179.5116424560547,255.52276611328125,264.0111999511719,362.0168762207031,355.5291442871094,454.4674377441406,446.5176086425781,137.39669799804688,0.0,171.984619140625,166.87728881835938,220.52207946777344,192.38314819335938,198.88194274902344,179.5116424560547,255.52276611328125,264.0111999511719,362.0168762207031,355.5291442871094,454.4674377441406,446.5176086425781,137.39669799804688,37.59797668457031,62.040557861328125,84.87397003173828,65.72259521484375,68.05638885498047,42.5413703918457,141.01612854003906,154.18284606933594,238.42962646484375,237.03829956054688,335.12030029296875,329.62677001953125,171.984619140625,166.87728881835938,220.52207946777344,192.38314819335938,198.88194274902344,179.5116424560547,255.52276611328125,264.0111999511719,362.0168762207031,355.5291442871094,454.4674377441406,446.5176086425781,45.3138427734375,61.523681640625,30.663854598999023,57.01378631591797,24.733367919921875,106.71049499511719,120.92237091064453,201.1094970703125,200.4151153564453,298.0548095703125,292.8840637207031,102.76618194580078,35.83667755126953,102.18905639648438,70.0470962524414,89.28108215332031,99.5396728515625,195.14019775390625,189.22396850585938,288.334228515625,281.0702819824219,71.47991180419922,27.138771057128906,42.72578048706055,125.31649017333984,141.3050537109375,191.17286682128906,197.6364288330078,287.8526306152344,285.7552795410156,77.7264404296875,49.895484924316406,76.12771606445312,90.25870513916016,173.52740478515625,171.3775634765625,269.71099853515625,263.98785400390625,32.536712646484375,142.940185546875,158.76551818847656,216.55874633789062,221.82460021972656,313.6619873046875,311.1133117675781,122.4774398803711,137.64321899414062,208.57923889160156,210.50904846191406,306.1602478027344,302.1034851074219,15.98865032196045,107.72959899902344,100.04209899902344,199.1082763671875,191.80911254882812,103.30208587646484,92.4744644165039,190.7117462158203,182.5063934326172,23.292011260986328,97.60433197021484,94.58926391601562,99.1173095703125,92.61727142333984,15.136021614074707,plank
